ChurnRiskScore,ActiveCustomers,Inverse,Moderate
ChurnRiskScore,Recency,Inverse,Moderate
Revenue,AvgReturnAmt,Inverse,Moderate
Revenue,AvgDeliveryCost,Direct,Moderate
BackOrderRatio,Revenue,Negative,Moderate
CLTV,PurchaseFrequency,Direct,Strong
CLTV,AvgDeliveryVolume,Direct,Moderate
CLTV,ChurnRiskScore,Inverse,Strong
CLTV,Recency,Direct,Moderate
PurchaseFrequency,Revenue,Direct,Strong
PurchaseFrequency,ChurnRiskScore,Inverse,Strong
PurchaseFrequency,ReturnRate,Direct,Moderate
PurchaseFrequency,Recency,Direct,Moderate
ChurnRiskScore,Revenue,Inverse,Strong
ChurnRiskScore,ReturnRate,Direct,Moderate
AOV,Revenue,Direct,Strong
AOV,AvgReturnAmt,Direct,Moderate
AOV,CLTV,Positive,Moderate
BackOrderRatio,StockoutRate,Direct,Moderate
AvgReturnAmt,ReturnRate,Direct,Strong
AvgDeliveryVolume,AvgDeliveryCost,Direct,Moderate
