metric_id,metric_name,cur_value,change,trend,goal
CLTV,CLTV,1500.0,5.0,"[1200.0, 1250.0, 1300.0, 1350.0, 1400.0, 1450.0, 1475.0, 1490.0, 1495.0, 1500.0]",Increase CLTV by 10%
PurchaseFrequency,PurchaseFrequency,4.5,2.2,"[3.0, 3.5, 4.0, 4.2, 4.3, 4.4, 4.5, 4.6, 4.6, 4.5]",Increase purchase frequency by 1
ChurnRiskScore,ChurnRiskScore,0.12,-1.5,"[0.15, 0.14, 0.13, 0.12, 0.11, 0.11, 0.12, 0.13, 0.12, 0.12]",Reduce churn risk below 10%
ActiveCustomers,ActiveCustomers,1200.0,100.0,"[1100.0, 1120.0, 1130.0, 1150.0, 1180.0, 1200.0, 1220.0, 1250.0, 1260.0, 1200.0]",Increase active customers by 10%
BackOrderRatio,BackOrder Ratio,0.08,-1.5,"[0.12, 0.1, 0.09, 0.08, 0.07, 0.08, 0.09, 0.1, 0.09, 0.08]",Reduce back order rate below 5%
AOV,AOV,135.8,12.8,"[100.0, 105.0, 110.0, 115.0, 120.0, 125.0, 130.0, 132.0, 134.0, 135.8]",Increase AOV by 10%
Revenue,Revenue,500000.0,10000.0,"[450000.0,460000.0,470000.0,480000.0,490000.0,495000.0,500000.0]",Increase revenue by 2%
StockoutRate,Stockout Rate,0.05,-0.02,"[0.08, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.05]",Reduce stockout rate below 5%
AvgReturnAmt,AverageReturnAmount,50.0,-5.0,"[55.0, 54.0, 53.0, 52.0, 51.0, 50.0, 49.0, 48.0, 47.5, 50.0]",Reduce average return amount by 10%
ReturnRate,ReturnRate,0.1,-3.3,"[0.15, 0.14, 0.13, 0.13, 0.12, 0.12, 0.11, 0.11, 0.11, 0.1]",Reduce return rate below 10%
Recency,Recency,30.0,-5.0,"[25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 30.0]",Reduce recency to below 15 days
AvgDeliveryVolume,AverageDelivery Volume,1000.0,50.0,"[900.0, 920.0, 950.0, 980.0, 1000.0, 1050.0, 1100.0, 1150.0, 1200.0, 1000.0]",Increase average delivery volume by 10%
AvgDeliveryCost,AverageDelivery Cost,25.0,-2.0,"[30.0, 29.0, 28.5, 27.5, 27.0, 25.0, 24.5, 24.0, 23.5, 25.0]",Reduce average delivery cost by 10%
